,MAL_ID,Name,Score,Genres,Type,Episodes,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Dropped,Season,Year,DropRatio(%),RunLength
4816,6907,Mikan-Seijin,5.84,['Comedy'],TV,26.0,,,,,,22.0,G,8717.0,12330,460,55,,,11.956521739130435,Two Season
5603,8999,Origami Warriors,,"['Action', 'Adventure']",TV,52.0,,['SBS TV Production'],,,,30.0,,11399.0,13043,348,43,,,12.35632183908046,Four or more Season
5924,9822,Xiang Qi Wang,,['Game'],TV,26.0,,,,,,24.0,PG,12869.0,12259,471,61,,,12.951167728237792,Two Season
5992,9948,Wo Wei Ge Kuang,,['Music'],TV,52.0,,,,,Original,22.0,PG13,12863.0,13520,295,46,,,15.593220338983052,Four or more Season
5996,9952,Wei Qi Shao Nian,,"['Game', 'Historical']",TV,26.0,,['CCTV Animation'],,,,22.0,PG,12819.0,12327,460,60,,,13.043478260869565,Two Season
6102,10194,Bada-ui Jeonseol Jangbogo,6.08,"['Action', 'Adventure', 'Mystery', 'Comedy']",TV,26.0,,,,,,25.0,G,7865.0,11247,713,64,,,8.976157082748948,Two Season
6518,11307,Ginga Patrol PJ,6.64,"['Drama', 'Military', 'Sci-Fi', 'Space']",TV,26.0,,['Fuji TV'],,['Eiken'],,25.0,,5187.0,10822,853,71,,,8.32356389214537,Two Season
6638,11835,Qin Shi Ming Yue: Zhu Zi Bai Jia,7.03,"['Action', 'Historical', 'Martial Arts', 'Fantasy']",TV,34.0,,,,['Sparkly Key Animation Studio'],Novel,22.0,PG13,3519.0,10274,1084,83,,,7.656826568265683,Three Season
6640,11841,Qin Shi Ming Yue: Ye Jin Tianming,6.81,"['Action', 'Historical', 'Martial Arts', 'Fantasy']",TV,18.0,,,,['Sparkly Key Animation Studio'],Novel,22.0,PG13,4408.0,10384,1027,82,,,7.98442064264849,Two Season
6657,11919,Zoku Attacker You! Kin Medal e no Michi,6.11,"['Sports', 'Romance']",TV,52.0,,['Knack Productions'],,,,23.0,G,7758.0,10826,853,101,,,11.840562719812427,Four or more Season
7311,15749,Chiisana Ojisan,5.9,['Slice of Life'],TV,30.0,,,,['Kachidoki Studio'],Manga,34.0,G,8526.0,11436,665,143,,,21.503759398496243,Three Season
7346,15905,Qin Shi Ming Yue: Wanli Changcheng,7.17,"['Action', 'Historical', 'Martial Arts', 'Fantasy']",TV,37.0,,,,['Sparkly Key Animation Studio'],Novel,22.0,PG13,2913.0,10363,1044,94,,,9.003831417624522,Three Season
7424,16385,Dog Days'',6.97,"['Action', 'Adventure', 'Magic', 'Fantasy']",TV,12.0,Winter 2015,"['Aniplex', 'Starchild Records', 'Bandai Namco Games', 'Glovision']",,['Seven Arcs Pictures'],Original,23.0,PG13,3736.0,1960,62332,1919,Winter,2015.0,3.078675479689405,One Season
