id,date,name,opening_price,closing_price,highest_price,lowest_price,transaction_count
1,2000-01-04,platinum,428,429.70001220703131,430,421,632
2,2000-01-05,platinum,428,419.89999389648438,428,416.89999389648438,571
3,2000-01-06,platinum,415,412,417,409,494
4,2000-01-07,platinum,408,414,417,408,130
5,2000-01-10,platinum,414,415,415,414,24
6,2000-01-11,platinum,415,413,417,413,152
7,2000-01-12,platinum,415,417.39999389648438,417.39999389648438,415,1
8,2000-01-13,platinum,418,419.89999389648438,419.89999389648438,416,31
9,2000-01-14,platinum,419,425.39999389648438,428,419,5
10,2000-01-18,platinum,428,430.70001220703131,430.70001220703131,427.5,57
11,2000-01-19,platinum,437,443.20001220703131,443.20001220703131,437,32
12,2000-01-20,platinum,447,442.5,447,435,93
13,2000-01-21,platinum,441.39999389648438,445.5,449.5,441.39999389648438,22
14,2000-01-24,platinum,455,455.5,456,450,38
15,2000-01-25,platinum,459,461.39999389648438,461.39999389648438,454,26
16,2000-01-26,platinum,450,447.5,450,447.5,1286
17,2000-01-27,platinum,436,445.60000610351563,446,435,1772
18,2000-01-28,platinum,456,453.79998779296881,458.5,445,1858
19,2000-01-31,platinum,455,455,458.5,454.5,515
20,2000-02-01,platinum,455,452.89999389648438,455.5,451.5,613
21,2000-02-02,platinum,459.5,466.20001220703131,468,459.5,1648
22,2000-02-03,platinum,474,474.79998779296881,475,468,952
23,2000-02-04,platinum,477,479,480.5,472.5,1419
24,2000-02-07,platinum,489,474.29998779296881,490,469.5,1269
25,2000-02-08,platinum,484,498.5,502,479,1716
26,2000-02-09,platinum,515,529.5999755859375,532,510.5,2376
27,2000-02-10,platinum,511,517.9000244140625,519.5,505,1708
28,2000-02-11,platinum,523,526.4000244140625,528,515,1461
29,2000-02-14,platinum,516.4000244140625,517.20001220703125,520,514,1679
30,2000-02-15,platinum,516,530.5,537.5,512,1667
31,2000-02-16,platinum,531.20001220703125,542.4000244140625,544.9000244140625,529,1438
32,2000-02-17,platinum,548,529.4000244140625,555,516.20001220703125,2043
33,2000-02-18,platinum,510,503.20001220703131,515,489.39999389648438,0
